Mean wait;Longest wait;Above max wait
219;1128;439
751;1951;1087
833;2345;941
555;1881;907
345;1433;657
405;1822;734
969;2521;1171
418;1713;667
352;1755;582
958;2816;1022
1055;2564;1165
701;1751;1119
605;2027;832
394;1322;776
456;1709;760
350;1732;637
1145;2451;1114
1266;2828;1312
341;1302;630
525;1887;874
675;1658;940
205;1319;375
382;1573;718
698;2989;726
1488;3943;1086
373;1696;702
431;1705;695
350;2056;666
399;1743;680
221;1241;420
807;2654;914
341;1408;690
912;3101;899
645;2092;961
955;2772;864
193;865;418
552;2060;799
672;2454;811
311;1624;542
362;1841;727
679;2381;919
514;2707;750
325;1463;606
321;1627;554
149;881;262
1251;3473;978
454;1469;872
773;2088;1074
702;2303;916
273;1559;520
521;1458;1044
236;1266;496
1091;3621;792
538;1690;964
702;2283;968
189;1053;363
219;797;470
450;1559;928
381;1797;710
687;2150;960
671;2331;1002
771;2751;861
641;1868;975
1136;2849;1058
1312;3360;1147
379;1400;650
353;1490;632
376;1403;660
327;1500;560
419;1682;800
183;1251;328
1300;4771;1007
310;1124;606
435;1664;735
298;1366;551
1244;3521;1076
290;1579;471
683;2375;975
535;1580;961
360;1590;693
561;2201;801
670;1919;990
316;1151;679
513;1965;871
534;1998;900
2504;5072;1380
881;2429;1047
290;1376;520
335;1261;651
626;1543;1015
886;2555;1046
485;1538;819
189;998;412
685;2228;934
598;2454;805
578;2856;749
300;1170;624
359;1755;611
252;1025;552
1010;3894;840
1167;2936;1235
571;1378;1025
390;1337;818
649;2106;919
158;845;281
838;3162;1008
800;2315;1075
427;1428;793
533;2366;625
1623;3708;1116
680;1977;1056
844;2101;1051
417;1621;669
101;696;172
231;1109;475
396;1703;688
652;2387;921
248;1946;435
623;2340;816
615;2034;917
424;1588;747
421;1828;670
392;1464;742
212;1074;411
1054;3002;1344
1193;2933;1199
247;1059;491
313;1355;638
335;1461;600
508;1868;820
405;1491;668
196;1079;392
481;1664;898
228;1265;441
1688;3732;1255
215;970;471
360;1609;646
398;1678;625
818;3343;836
921;2721;960
530;1881;827
984;2654;1033
586;2508;760
412;1435;832
226;993;500
667;1674;944
709;2254;916
222;1074;446
204;1170;408
758;2185;850
888;2639;893
548;1948;751
479;1996;755
458;1613;788
738;2713;894
572;1749;1013
741;2467;943
267;1862;493
785;2475;903
632;2088;857
460;1372;906
172;1213;293
209;1210;373
589;2300;839
440;1691;704
374;1832;623
1130;2395;1171
388;1863;695
684;2378;834
512;1774;893
347;1818;607
539;2031;885
321;1526;606
242;1172;463
306;1381;608
537;2117;850
330;1380;596
709;1692;1150
163;894;287
423;1505;854
259;1545;568
254;1016;557
664;3566;661
171;859;351
852;2442;1056
179;822;380
482;1459;877
173;1038;354
279;1416;551
223;1103;455
626;2595;916
244;981;505
549;1950;944
309;1339;642
570;1620;1027
919;2745;973
654;2653;785
350;1320;717
707;2214;866
355;1661;648
239;977;529
336;1245;600
481;1628;787
919;2897;1019
362;1717;576
219;1157;458
357;1778;636
226;944;455
313;1134;661
488;2220;747
597;2077;864
258;1089;489
304;1186;614
700;2263;1019
489;1462;844
543;2910;704
582;1785;1022
909;3182;979
622;2075;860
614;2452;912
181;1198;314
656;2480;890
814;2515;933
376;1174;737
244;1396;407
453;1534;864
389;1489;728
1484;4104;903
412;2228;692
356;1368;701
369;1925;577
450;1498;974
561;1868;950
345;1220;688
302;1173;590
484;1703;813
291;1799;458
321;1742;593
1457;2917;1327
1892;4580;1227
579;1855;947
422;1401;753
209;1007;421
700;2013;963
252;1407;472
287;1773;445
557;1785;941
1647;3642;1167
353;1253;729
353;1742;591
820;2442;918
424;1535;740
382;1670;724
297;1570;505
293;1033;675
308;1537;589
654;2163;859
435;1800;754
334;1067;687
811;2828;945
339;1390;705
211;1825;369
452;2284;645
221;1288;449
553;2458;700
179;920;401
655;2261;868
632;2069;878
288;1324;573
202;1088;380
582;1601;1069
537;2114;844
701;2137;1061
596;2372;832
596;2061;812
549;2009;824
623;2111;841
388;1972;615
266;1215;496
583;2168;888
1000;2905;1182
395;1651;685
257;1194;531
545;1945;834
575;2240;852
842;2620;920
2382;4730;1317
1023;3677;970
961;3117;970
175;1063;344
286;1235;571
193;1189;377
481;2157;733
718;2241;963
319;1191;713
217;1257;418
403;2012;749
148;845;273
274;1248;525
391;1498;713
382;2424;580
797;2431;914
1584;3944;1258
293;1213;588
295;1339;597
603;2012;974
464;2274;703
254;1097;505
778;2231;1026
210;1372;405
616;2262;959
1030;2516;1034
226;919;513
751;2433;841
1171;3538;988
296;1181;616
1861;4877;1262
234;1023;483
316;1406;613
433;1721;729
428;1579;847
1493;3104;1256
274;1120;582
294;1064;623
486;1689;829
257;1093;537
537;1498;996
333;1358;639
394;1531;747
482;1865;842
290;1364;527
331;1519;631
709;2896;708
873;1934;1261
683;1939;1033
721;2270;1051
562;1664;998
514;2353;739
318;1255;701
1166;2659;1126
222;1217;436
1917;4434;1256
448;1524;834
333;1486;621
595;2011;950
279;1008;606
254;1089;513
347;1788;629
481;1564;837
1086;3008;974
1951;4320;1359
579;2381;877
412;1545;753
565;1407;975
338;1295;687
405;1565;795
737;2966;834
983;2559;1102
349;1286;763
492;1896;843
983;2872;1014
412;1920;769
256;1190;446
514;1575;899
247;1194;496
325;1204;713
380;1604;741
414;1724;685
296;1459;571
845;2030;1132
546;2218;750
180;1015;328
1397;3306;1246
616;1770;939
168;1052;302
702;2539;873
1178;3658;969
328;1445;555
719;1690;1155
624;2423;816
601;1814;1011
1339;3468;1006
912;2524;1128
758;2390;975
410;1327;805
305;1782;577
362;1742;672
788;2350;1150
1184;2931;1189
262;1239;530
717;1992;1119
213;1101;408
753;2144;1124
783;1983;1155
550;2010;923
467;1736;859
653;1832;1105
365;1451;659
313;1183;646
1202;3677;993
340;1421;688
382;1845;644
351;1270;693
1008;2710;1107
499;2190;864
466;1922;723
579;1761;982
259;1134;519
349;1500;679
253;976;513
754;2310;975
308;1521;494
427;1625;888
516;1920;782
1013;2301;1236
267;1299;516
1014;2724;1004
482;1940;856
469;2078;618
479;1674;885
371;1510;641
867;2440;1253
519;2110;652
511;1740;875
340;1495;632
653;3247;710
291;1188;657
447;1893;825
1264;2641;1308
550;1719;1018
708;2685;842
784;2295;1008
864;2634;1108
479;1481;910
337;1161;695
692;2056;1113
595;2066;995
477;1427;868
272;1529;437
287;1565;533
440;1438;920
296;1118;598
580;1867;925
296;1475;579
460;1475;861
1980;4641;1272
341;1781;576
255;1016;541
389;1497;637
486;1632;772
243;1285;488
399;2020;577
944;2286;1105
559;1976;867
1487;3998;1115
396;1248;790
469;1594;762
1530;3757;1230
446;1640;765
1364;3520;1213
357;1543;673
386;1602;718
549;2003;787
613;2014;801
622;1710;964
390;1310;757
883;2860;1153
281;1314;520
351;1479;733
334;1947;510
169;930;326
270;1337;541
328;1251;662
461;1944;732
281;1095;628
611;2182;807
1741;3392;1281
342;1335;607
319;1617;606
271;1313;556
370;1589;693
570;2415;779
269;1282;476
441;1961;813
511;1705;866
413;1751;685
808;2215;1219
503;1572;850
672;3184;624
338;1533;576
689;2208;933
973;3021;1088
422;2249;573
181;1036;349
706;2517;1061
1049;3180;1047
465;1852;744
2958;4738;1351
726;2779;1040
783;2274;1021
609;1674;1037
1538;4557;1255
378;1733;713
539;2115;785
293;1120;636
999;3647;852
1064;3287;950
442;1691;771
672;2545;1017
423;2354;682
836;1995;1099
514;1701;972
451;1555;773
931;2551;1159
377;1665;578
966;2997;936
564;1472;1026
918;2845;980
444;1707;866
240;1203;441
291;1344;566
376;1608;718
1194;2624;1254
1094;2831;1281
623;1878;967
718;2327;860
1134;2602;1323
544;1789;786
524;1563;920
1081;3025;1216
638;1868;1017
1400;3624;1099
908;2215;1209
409;1600;739
603;2438;807
1943;3799;1383
275;1250;527
620;1885;971
256;966;569
972;2372;1154
506;1802;802
574;1793;1000
429;1515;846
590;2360;892
319;1191;695
495;1803;733
464;2109;569
626;2042;887
657;2457;958
245;980;529
426;1255;918
284;1014;634
365;1573;663
380;1667;688
253;993;515
875;2265;1118
450;1866;738
665;1892;1039
452;2053;797
255;1088;506
429;1594;848
316;1352;615
407;2022;656
435;2063;708
923;2945;996
821;2744;1095
554;1723;839
450;1439;841
204;1222;402
658;1770;1000
379;1646;660
312;1411;585
513;1987;864
322;1526;566
392;1617;654
696;2488;985
147;914;260
1282;2608;1335
187;1004;362
409;1991;611
296;1489;545
260;1250;522
456;1764;820
433;1758;879
447;1566;778
527;1850;820
144;737;269
232;1101;399
667;2185;857
567;1749;890
194;1127;407
326;1152;690
592;1546;1002
977;2819;1080
214;1910;337
249;970;527
1177;3077;1210
549;1647;848
1190;2732;1078
487;1873;714
1087;3772;866
337;1383;664
772;2375;1123
590;2064;877
155;1159;275
343;1482;636
196;1080;365
651;2493;796
1239;3045;1102
332;1579;650
442;1646;869
593;2424;707
385;1602;697
276;1013;610
1395;3273;1294
409;1476;809
352;1180;678
430;1302;760
288;1215;585
461;1786;735
248;1317;501
743;2621;906
1029;2929;915
271;1427;569
442;1772;763
191;1110;372
876;2185;1112
225;1388;466
378;1344;663
225;1354;455
208;1123;413
1049;3063;1072
462;1878;624
467;2123;600
423;1518;720
1608;2526;1398
674;2466;811
1235;2962;1010
1377;3217;1263
1614;3709;1198
602;1767;951
477;1556;772
639;2269;825
884;2627;941
84;744;105
282;1431;520
253;1315;466
214;1081;461
337;1262;706
708;1844;1039
1204;2954;1118
531;2638;659
264;1391;455
301;1308;579
209;865;435
630;1940;1032
459;1405;914
396;2027;794
331;1946;603
295;1314;581
1156;2693;1156
254;902;598
1171;2390;1218
264;1382;547
265;1117;553
405;1627;778
326;1410;564
291;1294;617
425;1862;717
303;1305;570
307;1203;605
259;1149;541
337;1217;686
453;1422;857
525;1686;848
188;867;362
1215;4035;922
375;1539;742
490;1278;950
541;1570;1097
572;2376;943
276;1276;600
501;1788;823
441;1628;740
856;2104;1113
316;1291;610
298;1238;589
635;2151;934
368;1669;700
313;1432;635
586;2188;821
337;1280;725
469;2219;680
706;2543;1002
361;1495;762
301;1428;563
700;2247;968
450;1608;788
669;1984;1035
837;1901;1024
345;1365;717
526;1971;833
1215;3363;1110
233;1181;433
659;1898;961
508;1964;757
139;627;250
664;2075;952
1857;3916;1181
941;2222;1213
350;1423;697
296;1570;513
401;1500;693
803;2042;1008
552;2302;745
397;1672;680
353;1197;804
545;2594;764
396;1639;630
270;1217;555
521;1600;984
567;2992;952
291;1611;503
1189;3295;1255
368;1477;774
617;2458;769
338;1414;628
696;2762;806
441;1669;793
371;1390;653
593;1693;830
331;1293;626
357;1500;739
279;1075;542
752;2569;889
1249;2355;1249
200;922;435
369;2287;615
408;1886;721
888;2440;1182
309;1586;584
446;1388;819
478;1426;983
237;1210;469
277;1323;553
389;1153;797
525;2416;760
623;2277;913
258;1161;505
305;1446;613
455;2100;826
728;2157;989
733;3272;783
188;905;400
429;1625;797
458;1784;683
293;1112;641
382;1478;661
981;3068;1027
894;3289;1092
879;3002;1010
224;849;450
456;1640;743
1037;3116;1140
561;3045;746
812;2247;1126
285;1397;511
310;1273;606
567;1642;1108
1515;3162;1227
726;2316;1007
405;1502;771
358;1270;716
501;2058;693
357;1394;642
314;1069;655
937;3016;892
882;2467;1262
1579;3554;1241
920;3739;825
229;1361;363
348;1516;595
147;730;266
287;1399;549
367;1489;638
236;1161;497
1795;3761;1421
825;1918;1192
279;1420;526
809;2761;965
343;1221;681
1057;2105;1343
344;1773;594
198;984;412
413;1679;749
661;3083;637
194;929;407
615;2251;885
407;1413;787
529;1850;803
318;1847;525
600;2260;647
850;2630;740
227;1217;410
1567;4237;1269
257;1264;542
392;1515;738
630;1996;803
