Mean wait;Longest wait;Above max wait
285;1268;595
471;1843;855
352;1361;724
932;2887;1053
2572;4414;1342
1673;3057;1391
530;2059;900
383;1924;614
620;1761;1039
683;2301;1065
255;1144;495
508;1863;830
711;1906;1039
435;1547;824
575;1924;887
1232;2433;1200
453;1898;823
502;1479;978
716;2388;991
807;2320;1003
1072;2519;1094
335;1758;622
300;1467;571
270;1443;496
486;1736;768
741;2237;959
278;1251;517
483;2196;827
586;1853;972
276;1438;563
277;1063;624
483;2109;763
753;2214;1097
511;1668;871
712;2116;999
541;1678;956
395;1615;752
456;1846;760
543;1746;742
767;2073;1084
392;1729;770
298;1272;552
1256;4645;856
505;1767;832
363;1427;762
271;1217;517
403;1353;765
453;1701;806
414;1558;631
705;2649;968
849;2508;912
208;762;468
530;2021;667
393;1561;673
1205;3239;1319
606;2230;783
947;2985;930
645;2321;729
364;1408;747
224;1257;438
301;1204;626
735;2161;1063
313;1674;575
1068;3276;954
521;1928;832
173;1020;298
1034;3260;1106
221;1225;413
391;1293;752
649;1888;945
398;1356;748
291;1551;568
259;1195;550
554;2174;824
435;1818;685
323;1220;712
240;1283;499
958;3874;826
487;1527;967
588;2357;767
458;1978;725
221;1074;478
356;1571;623
543;1981;873
264;952;613
516;1536;981
282;1286;538
287;1095;622
318;1187;667
344;1891;639
369;1454;700
674;1846;975
1007;2823;1218
426;2178;735
448;1895;705
269;1413;530
453;1741;809
707;2168;962
380;1222;775
637;2040;951
610;1938;947
340;1417;627
297;1586;511
457;1961;800
297;1278;557
500;1997;846
478;1908;858
561;2128;801
916;3031;1087
257;1009;570
510;1475;892
376;1488;706
303;1695;535
268;1505;457
335;1212;684
402;1800;753
372;1486;710
323;1442;558
2090;4342;1191
2829;5694;1284
287;1453;545
563;1728;833
265;1150;535
354;1263;743
1342;3316;1166
402;1709;742
331;1598;619
314;1238;640
240;1453;480
263;1339;509
1502;4111;1135
527;2451;928
529;1727;839
196;1107;355
683;2168;1051
955;2714;1039
1715;3174;1364
490;2404;687
514;2162;792
152;886;310
718;2101;1044
1121;3119;1197
574;1902;780
1069;2928;1143
453;2004;647
594;2166;878
239;1019;500
843;2276;1072
1054;2672;994
444;1540;896
557;1872;990
2013;3723;1294
269;1414;518
688;3236;825
450;1591;756
350;1550;717
511;1819;932
789;2703;870
791;1713;1184
1347;4230;1051
336;1496;632
664;1910;1016
1098;3689;959
2254;4013;1420
185;988;372
476;1799;918
522;1708;899
630;2932;908
405;1388;714
497;1511;897
229;1100;480
460;1756;845
1019;2656;1169
441;1544;782
335;1383;686
245;1139;512
368;1614;675
278;1452;505
281;1184;601
855;2205;1133
388;1475;773
1297;3450;1087
345;1840;643
143;683;244
294;1427;579
382;1482;618
440;2277;698
399;1552;757
388;1136;840
1073;3304;892
344;1658;595
241;1329;452
